median_gross_rent,median_home_value,median_household_income,total_occupied_units,owner_occupied,renter_occupied,total_housing_units,vacant_units,total_population,zip_code,renter_pct,vacancy_rate,income_to_rent_ratio
427.0,94200.0,19454.0,5768.0,3891.0,1877.0,7570.0,1802.0,16669.0,00601,0.32541608876560335,0.2380449141347424,3.7966432474629195
475.0,121400.0,21420.0,12954.0,9529.0,3425.0,17610.0,4656.0,37233.0,00602,0.2643970974216458,0.2643952299829642,3.7578947368421054
475.0,152900.0,20933.0,20131.0,11531.0,8600.0,26239.0,6108.0,48448.0,00603,0.4272018280264269,0.23278326155722398,3.672456140350877
413.0,114000.0,20992.0,1860.0,1479.0,381.0,2681.0,821.0,5163.0,00606,0.20483870967741935,0.3062290190227527,4.235673930589185
579.0,117900.0,24496.0,9604.0,6879.0,2725.0,12636.0,3032.0,25357.0,00610,0.2837359433569346,0.23994935106046217,3.5256188831318367
470.0,98400.0,20360.0,679.0,429.0,250.0,776.0,97.0,1383.0,00611,0.36818851251840945,0.125,3.6099290780141846
510.0,117600.0,24488.0,24426.0,15666.0,8760.0,31920.0,7494.0,62908.0,00612,0.35863424220093343,0.23477443609022555,4.001307189542484
655.0,109000.0,21846.0,3580.0,2640.0,940.0,4511.0,931.0,9717.0,00616,0.26256983240223464,0.20638439370427844,2.7793893129770995
582.0,126800.0,25013.0,9063.0,6722.0,2341.0,10808.0,1745.0,22584.0,00617,0.25830299017985214,0.16145447816432273,3.5814719358533793
668.0,119400.0,26585.0,3256.0,2345.0,911.0,7600.0,4344.0,7664.0,00622,0.2797911547911548,0.5715789473684211,3.316492015968064
582.0,126300.0,26388.0,15881.0,12125.0,3756.0,20977.0,5096.0,39212.0,00623,0.23650903595491468,0.2429327358535539,3.7783505154639174
504.0,89900.0,22979.0,7456.0,5235.0,2221.0,9378.0,1922.0,21148.0,00624,0.2978809012875536,0.20494775005331628,3.7994378306878307
